month,zipcode,avg_hours
2024-02,10308,423.08
2024-02,10309,161.5
2024-02,10310,368.02
2024-02,10312,336.78
2024-02,10314,276.42
2024-02,10451,310.43
2024-02,10452,250.95
2024-02,10453,290.21
2024-02,10454,327.01
2024-02,10455,409.17
2024-02,10456,286.67
2024-02,10457,269.77
2024-02,10458,275.51
2024-02,10459,332.35
2024-02,10460,302.12
2024-02,10461,101.63
2024-02,10462,267.35
2024-02,10463,203.36
2024-02,10464,138.26
2024-02,10465,147.38
2024-02,10466,441.72
2024-02,10467,481.81
2024-02,10468,250.1
2024-02,10469,381.75
2024-02,10470,172.05
2024-02,10471,280.71
2024-02,10472,237.73
2024-02,10473,188.7
2024-02,10474,369.15
2024-02,10475,392.19
2024-02,10804,23.01
2024-02,11001,679.25
2024-02,11004,867.45
2024-02,11005,30.44
2024-02,11040,51.78
2024-02,11101,219.92
2024-02,11102,295.86
2024-02,11103,195.53
2024-02,11104,253.65
2024-02,11105,243.0
2024-02,11106,171.9
2024-02,11109,257.91
2024-02,11201,150.38
2024-02,11203,401.37
2024-02,11204,274.66
2024-02,11205,227.44
2024-02,11206,323.91
2024-02,11207,348.3
2024-02,11208,258.29
2024-02,11209,366.04
2024-02,11210,372.17
2024-02,11211,399.29
2024-02,11212,380.43
2024-02,11213,263.17
2024-02,11214,235.33
2024-02,11215,219.36
2024-02,11216,286.46
2024-02,11217,271.26
2024-02,11218,225.98
2024-02,11219,281.11
2024-02,11220,257.09
2024-02,11221,304.28
2024-02,11222,193.66
2024-02,11223,202.66
2024-02,11224,212.12
2024-02,11225,273.54
2024-02,11226,344.69
2024-02,11228,268.96
2024-02,11229,171.69
2024-02,11230,258.32
2024-02,11231,379.79
2024-02,11232,248.27
2024-02,11233,309.43
2024-02,11234,244.64
2024-02,11235,119.59
2024-02,11236,384.04
2024-02,11237,377.74
2024-02,11238,419.86
2024-02,11239,41.17
2024-02,11241,9.14
2024-02,11249,340.61
2024-02,11251,5.21
2024-02,11354,509.51
2024-02,11355,204.12
2024-02,11356,469.79
2024-02,11357,1329.53
2024-02,11358,483.24
2024-02,11359,9.54
2024-02,11360,594.61
2024-02,11361,946.33
2024-02,11362,678.3
2024-02,11363,615.01
2024-02,11364,1759.86
2024-02,11365,294.51
2024-02,11366,111.97
